CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,InternetService,SupportCalls,Churn,ChurnProbability,PredictedChurn,RiskSegment
CUST-04719,13,111.12,1453.23,Month-to-month,DSL,3,1,0.8757,1,Critical Risk
CUST-01940,1,92.85,152.45,Month-to-month,Fiber optic,4,1,0.8747,1,Critical Risk
CUST-02387,11,92.84,1086.46,Month-to-month,Fiber optic,1,1,0.8746,1,Critical Risk
CUST-02223,2,96.59,182.13,Month-to-month,Fiber optic,3,1,0.8744,1,Critical Risk
CUST-03627,1,88.53,92.07,Month-to-month,Fiber optic,3,1,0.8743,1,Critical Risk
CUST-04644,3,76.14,229.36,Month-to-month,Fiber optic,1,1,0.8743,1,Critical Risk
CUST-03246,4,107.43,460.64,One year,Fiber optic,4,1,0.8731,1,Critical Risk
CUST-00897,8,92.02,722.7,Month-to-month,Fiber optic,2,1,0.8729,1,Critical Risk
CUST-00588,3,53.98,101.72,Month-to-month,Fiber optic,3,1,0.8727,1,Critical Risk
CUST-02209,8,102.84,877.72,Month-to-month,Fiber optic,2,1,0.8726,1,Critical Risk
CUST-01791,3,85.46,281.1,Month-to-month,DSL,2,1,0.8726,1,Critical Risk
CUST-03266,1,94.79,137.67,Month-to-month,DSL,6,1,0.8711,1,Critical Risk
CUST-02676,8,112.31,916.21,Month-to-month,Fiber optic,1,1,0.8691,1,Critical Risk
CUST-04006,7,81.11,595.85,Month-to-month,Fiber optic,2,1,0.8689,1,Critical Risk
CUST-00855,5,74.72,343.0,Month-to-month,Fiber optic,4,0,0.8683,1,Critical Risk
CUST-01265,1,88.2,147.34,Month-to-month,Fiber optic,1,1,0.868,1,Critical Risk
CUST-01605,1,105.72,180.51,Month-to-month,No,2,1,0.8679,1,Critical Risk
CUST-04959,4,62.67,301.81,Month-to-month,Fiber optic,3,1,0.8674,1,Critical Risk
CUST-03183,8,91.84,726.3,Month-to-month,Fiber optic,3,1,0.8672,1,Critical Risk
CUST-01264,14,81.54,1183.32,Month-to-month,DSL,4,1,0.8671,1,Critical Risk
CUST-04759,14,96.84,1323.14,Month-to-month,Fiber optic,2,1,0.8668,1,Critical Risk
CUST-00079,10,108.4,1100.3,Month-to-month,Fiber optic,1,0,0.8665,1,Critical Risk
CUST-00037,8,76.36,644.78,Month-to-month,Fiber optic,3,1,0.8665,1,Critical Risk
CUST-04892,1,83.87,22.42,Month-to-month,DSL,5,1,0.8655,1,Critical Risk
CUST-01065,13,85.97,1129.79,Month-to-month,Fiber optic,2,1,0.8655,1,Critical Risk
CUST-03225,4,102.96,376.56,Month-to-month,DSL,0,1,0.8652,1,Critical Risk
CUST-02269,6,84.68,471.53,Month-to-month,Fiber optic,2,1,0.8643,1,Critical Risk
CUST-00115,24,94.24,2312.55,Month-to-month,Fiber optic,3,1,0.8631,1,Critical Risk
CUST-01056,10,120.0,1146.7,Month-to-month,Fiber optic,1,1,0.8631,1,Critical Risk
CUST-02239,1,84.28,181.22,Month-to-month,No,3,1,0.8621,1,Critical Risk
CUST-01514,1,92.99,105.51,Month-to-month,Fiber optic,1,1,0.862,1,Critical Risk
CUST-02995,3,93.93,346.38,Month-to-month,No,2,1,0.8613,1,Critical Risk
CUST-00687,20,86.92,1704.13,Month-to-month,Fiber optic,4,0,0.8612,1,Critical Risk
CUST-03414,10,82.28,874.43,Month-to-month,Fiber optic,3,1,0.8608,1,Critical Risk
CUST-04856,5,82.95,519.15,Month-to-month,Fiber optic,4,1,0.8606,1,Critical Risk
CUST-02817,16,106.28,1681.33,Month-to-month,DSL,4,1,0.86,1,Critical Risk
CUST-04802,1,82.7,69.01,Month-to-month,Fiber optic,4,1,0.8594,1,Critical Risk
CUST-04797,4,94.56,411.82,Month-to-month,DSL,1,0,0.859,1,Critical Risk
CUST-00942,19,74.51,1352.51,Month-to-month,Fiber optic,4,1,0.8578,1,Critical Risk
CUST-04155,7,88.07,561.79,Month-to-month,Fiber optic,4,1,0.8578,1,Critical Risk
CUST-01998,1,109.63,137.19,Month-to-month,No,1,1,0.8577,1,Critical Risk
CUST-01029,9,95.57,904.72,Month-to-month,No,1,1,0.8573,1,Critical Risk
CUST-01798,1,66.98,60.24,Month-to-month,Fiber optic,2,0,0.8567,1,Critical Risk
CUST-00996,2,89.6,211.77,Month-to-month,DSL,2,1,0.8563,1,Critical Risk
CUST-00424,16,106.96,1676.38,Month-to-month,DSL,4,1,0.8559,1,Critical Risk
CUST-01851,8,70.95,614.94,Month-to-month,Fiber optic,4,1,0.8555,1,Critical Risk
CUST-03504,1,95.05,37.86,Month-to-month,No,1,0,0.8554,1,Critical Risk
CUST-00295,3,93.7,254.45,Month-to-month,No,1,1,0.8551,1,Critical Risk
CUST-00858,15,79.78,1308.09,Month-to-month,Fiber optic,3,1,0.8549,1,Critical Risk
CUST-03384,7,79.15,614.6,Month-to-month,DSL,4,1,0.8546,1,Critical Risk
CUST-03083,5,87.75,408.62,Month-to-month,DSL,3,1,0.8538,1,Critical Risk
CUST-03926,1,81.21,34.81,Month-to-month,Fiber optic,3,1,0.8526,1,Critical Risk
CUST-01398,6,80.42,532.76,Month-to-month,No,4,1,0.8524,1,Critical Risk
CUST-00843,4,120.0,451.63,One year,Fiber optic,2,1,0.8522,1,Critical Risk
CUST-00186,25,100.97,2527.02,Month-to-month,Fiber optic,1,1,0.8521,1,Critical Risk
CUST-03755,7,85.63,593.37,Month-to-month,Fiber optic,2,1,0.8507,1,Critical Risk
CUST-03333,4,93.73,372.2,Month-to-month,Fiber optic,1,1,0.8501,1,Critical Risk
CUST-04220,6,82.56,572.81,Month-to-month,Fiber optic,3,1,0.8501,1,Critical Risk
CUST-03534,8,99.61,861.92,Month-to-month,Fiber optic,2,1,0.8496,1,Critical Risk
CUST-04975,6,100.26,547.56,Month-to-month,No,1,1,0.8496,1,Critical Risk
CUST-02670,9,84.25,782.54,Month-to-month,Fiber optic,3,0,0.8495,1,Critical Risk
CUST-01667,5,82.97,405.75,Month-to-month,DSL,0,1,0.8477,1,Critical Risk
CUST-04010,1,84.56,135.94,Month-to-month,Fiber optic,3,0,0.8475,1,Critical Risk
CUST-02350,1,94.34,181.42,Month-to-month,No,2,1,0.8469,1,Critical Risk
CUST-01599,2,98.78,245.41,Month-to-month,Fiber optic,1,1,0.843,1,Critical Risk
CUST-04408,3,90.68,204.95,Month-to-month,No,2,0,0.8413,1,Critical Risk
CUST-03632,3,94.67,380.47,Month-to-month,Fiber optic,1,1,0.8411,1,Critical Risk
CUST-02156,6,66.75,357.3,Month-to-month,Fiber optic,3,0,0.8405,1,Critical Risk
CUST-03590,5,77.33,423.07,Month-to-month,Fiber optic,5,1,0.8402,1,Critical Risk
CUST-02563,1,86.31,63.77,Month-to-month,DSL,1,1,0.8401,1,Critical Risk
CUST-02419,1,82.97,124.64,Month-to-month,Fiber optic,1,1,0.8394,1,Critical Risk
CUST-04828,4,80.6,284.27,Month-to-month,Fiber optic,2,1,0.8394,1,Critical Risk
CUST-02949,11,85.22,944.73,Month-to-month,Fiber optic,1,1,0.8394,1,Critical Risk
CUST-00834,4,80.65,322.98,Month-to-month,Fiber optic,2,1,0.8392,1,Critical Risk
CUST-03227,6,86.7,517.69,Month-to-month,Fiber optic,3,1,0.8392,1,Critical Risk
CUST-02117,13,117.84,1589.25,Month-to-month,DSL,1,1,0.8382,1,Critical Risk
CUST-00011,1,108.68,157.73,Month-to-month,Fiber optic,1,0,0.8381,1,Critical Risk
CUST-04747,5,105.74,596.0,Month-to-month,DSL,2,1,0.8381,1,Critical Risk
CUST-03686,20,74.84,1432.6,Month-to-month,Fiber optic,3,1,0.8379,1,Critical Risk
CUST-03135,5,81.01,398.53,Month-to-month,No,2,1,0.8376,1,Critical Risk
CUST-01493,6,78.76,457.61,Month-to-month,No,3,1,0.8373,1,Critical Risk
CUST-00495,14,88.47,1246.9,Month-to-month,Fiber optic,2,1,0.8373,1,Critical Risk
CUST-04077,13,107.42,1450.06,Month-to-month,DSL,1,1,0.8372,1,Critical Risk
CUST-03825,5,116.98,603.66,One year,Fiber optic,3,1,0.8372,1,Critical Risk
CUST-04142,3,80.55,252.31,Month-to-month,No,3,1,0.837,1,Critical Risk
CUST-04785,12,120.0,1493.7,Month-to-month,Fiber optic,0,1,0.8369,1,Critical Risk
CUST-00286,1,73.39,103.31,Month-to-month,Fiber optic,3,0,0.8368,1,Critical Risk
CUST-04569,3,65.06,317.0,Month-to-month,Fiber optic,2,1,0.8361,1,Critical Risk
CUST-03608,8,98.59,793.65,Month-to-month,DSL,2,1,0.8355,1,Critical Risk
CUST-00930,7,92.2,671.46,Month-to-month,Fiber optic,0,1,0.8336,1,Critical Risk
CUST-00058,5,72.21,348.37,Month-to-month,Fiber optic,0,1,0.833,1,Critical Risk
CUST-03412,3,88.58,230.54,Month-to-month,DSL,3,1,0.8329,1,Critical Risk
CUST-00349,11,75.17,892.03,Month-to-month,Fiber optic,2,1,0.8315,1,Critical Risk
CUST-01962,12,86.2,970.32,Month-to-month,Fiber optic,2,1,0.8311,1,Critical Risk
CUST-02040,6,97.47,567.52,Month-to-month,Fiber optic,0,1,0.8308,1,Critical Risk
CUST-04837,11,88.14,1018.14,Month-to-month,No,3,0,0.8307,1,Critical Risk
CUST-01073,1,66.53,102.62,Month-to-month,Fiber optic,1,1,0.8306,1,Critical Risk
CUST-02424,14,100.75,1401.32,Month-to-month,No,1,1,0.8305,1,Critical Risk
CUST-04544,7,80.14,431.72,Month-to-month,No,2,1,0.8304,1,Critical Risk
CUST-02311,16,117.76,1801.77,Month-to-month,No,2,0,0.8303,1,Critical Risk
CUST-04230,5,90.28,452.59,Month-to-month,Fiber optic,2,0,0.8301,1,Critical Risk
CUST-00369,5,65.89,255.48,Month-to-month,Fiber optic,2,1,0.8293,1,Critical Risk
CUST-00538,6,86.08,507.31,Month-to-month,Fiber optic,2,1,0.8292,1,Critical Risk
CUST-04701,6,87.87,535.83,Month-to-month,Fiber optic,2,1,0.8292,1,Critical Risk
CUST-01769,11,66.74,747.88,Month-to-month,Fiber optic,3,0,0.8278,1,Critical Risk
CUST-00625,23,82.05,1857.05,Month-to-month,Fiber optic,1,1,0.8277,1,Critical Risk
CUST-04997,3,74.53,170.35,Month-to-month,DSL,0,1,0.8276,1,Critical Risk
CUST-01661,22,60.72,1330.65,Month-to-month,DSL,8,1,0.8273,1,Critical Risk
CUST-01521,1,86.8,32.35,One year,Fiber optic,1,1,0.8272,1,Critical Risk
CUST-02439,18,106.16,1924.59,Month-to-month,Fiber optic,0,1,0.827,1,Critical Risk
CUST-02610,1,88.14,134.12,Month-to-month,Fiber optic,0,1,0.8263,1,Critical Risk
CUST-01274,1,75.09,53.69,Month-to-month,Fiber optic,2,1,0.8263,1,Critical Risk
CUST-02575,6,98.85,531.15,Month-to-month,DSL,2,1,0.8256,1,Critical Risk
CUST-00570,10,86.16,897.98,Month-to-month,Fiber optic,2,0,0.8255,1,Critical Risk
CUST-02406,22,90.45,1898.97,Month-to-month,Fiber optic,4,0,0.825,1,Critical Risk
CUST-01524,2,64.58,105.23,Month-to-month,Fiber optic,2,1,0.8244,1,Critical Risk
CUST-02848,6,78.75,445.92,Month-to-month,DSL,4,1,0.8242,1,Critical Risk
CUST-00671,4,93.84,367.65,Month-to-month,Fiber optic,1,1,0.824,1,Critical Risk
CUST-00153,3,89.7,268.61,Month-to-month,Fiber optic,3,1,0.8234,1,Critical Risk
CUST-01717,1,92.57,94.23,Month-to-month,No,0,0,0.8227,1,Critical Risk
CUST-02132,1,74.06,140.13,Month-to-month,Fiber optic,3,1,0.8225,1,Critical Risk
CUST-01971,1,90.15,40.1,Month-to-month,No,1,1,0.8224,1,Critical Risk
CUST-00989,6,86.93,448.87,Month-to-month,Fiber optic,1,0,0.8223,1,Critical Risk
CUST-02901,3,102.42,230.86,Month-to-month,Fiber optic,2,1,0.8217,1,Critical Risk
CUST-01867,1,119.06,165.61,Month-to-month,DSL,1,1,0.8217,1,Critical Risk
CUST-02481,7,91.05,618.73,Month-to-month,Fiber optic,4,0,0.8217,1,Critical Risk
CUST-04350,23,109.21,2561.13,Month-to-month,Fiber optic,3,1,0.8209,1,Critical Risk
CUST-02756,8,87.55,678.65,Month-to-month,No,0,0,0.8208,1,Critical Risk
CUST-00045,7,76.06,552.26,Month-to-month,Fiber optic,1,1,0.8203,1,Critical Risk
CUST-01155,23,82.78,1848.98,Month-to-month,DSL,1,0,0.8203,1,Critical Risk
CUST-03601,3,80.9,220.23,Month-to-month,Fiber optic,0,1,0.8199,1,Critical Risk
CUST-01594,2,115.02,204.94,One year,Fiber optic,5,1,0.8196,1,Critical Risk
CUST-03967,8,80.46,649.51,Month-to-month,Fiber optic,4,1,0.8196,1,Critical Risk
CUST-00584,9,87.89,829.93,Month-to-month,Fiber optic,3,1,0.8196,1,Critical Risk
CUST-02707,3,87.12,267.69,Month-to-month,Fiber optic,1,1,0.8194,1,Critical Risk
CUST-03136,23,106.2,2397.22,Month-to-month,DSL,4,1,0.819,1,Critical Risk
CUST-02361,1,84.18,107.85,Month-to-month,DSL,6,1,0.8175,1,Critical Risk
CUST-03933,23,120.0,2710.01,Month-to-month,DSL,2,0,0.8175,1,Critical Risk
CUST-01643,17,88.35,1500.82,Month-to-month,No,3,0,0.8158,1,Critical Risk
CUST-02082,1,59.5,95.4,Month-to-month,Fiber optic,1,1,0.8155,1,Critical Risk
CUST-04445,12,97.6,1194.21,Month-to-month,DSL,2,1,0.8149,1,Critical Risk
CUST-01412,2,88.25,144.26,Month-to-month,Fiber optic,0,1,0.8147,1,Critical Risk
CUST-02568,7,93.49,580.36,Month-to-month,Fiber optic,0,1,0.8139,1,Critical Risk
CUST-04154,10,117.73,1124.01,Month-to-month,DSL,0,1,0.8138,1,Critical Risk
CUST-04782,4,71.4,287.69,Month-to-month,Fiber optic,0,0,0.8131,1,Critical Risk
CUST-00994,21,75.87,1574.62,Month-to-month,DSL,3,1,0.813,1,Critical Risk
CUST-02547,1,73.05,89.33,Month-to-month,No,5,1,0.8129,1,Critical Risk
CUST-04895,11,54.08,534.33,Month-to-month,No,3,0,0.8129,1,Critical Risk
CUST-01283,19,120.0,2356.07,Month-to-month,Fiber optic,1,1,0.8123,1,Critical Risk
CUST-02830,1,65.67,82.47,Month-to-month,Fiber optic,3,1,0.8121,1,Critical Risk
CUST-01598,1,84.05,27.91,Month-to-month,DSL,1,1,0.8115,1,Critical Risk
CUST-02645,1,93.62,93.36,Month-to-month,Fiber optic,0,1,0.8113,1,Critical Risk
CUST-02309,2,53.61,50.04,Month-to-month,Fiber optic,2,0,0.8113,1,Critical Risk
CUST-01285,9,56.42,511.93,Month-to-month,Fiber optic,4,1,0.8113,1,Critical Risk
CUST-01726,1,79.33,155.82,Month-to-month,Fiber optic,0,1,0.8112,1,Critical Risk
CUST-01970,1,63.27,0.0,Month-to-month,Fiber optic,2,0,0.8111,1,Critical Risk
CUST-02883,5,79.99,423.29,Month-to-month,Fiber optic,3,1,0.8111,1,Critical Risk
CUST-02827,31,98.01,3044.03,Month-to-month,Fiber optic,2,0,0.8107,1,Critical Risk
CUST-04016,7,108.18,789.93,One year,DSL,2,1,0.8106,1,Critical Risk
CUST-00328,22,83.59,1787.12,Month-to-month,Fiber optic,4,1,0.8096,1,Critical Risk
CUST-03140,1,89.87,87.2,Month-to-month,No,1,1,0.8091,1,Critical Risk
CUST-04543,5,104.67,503.35,Month-to-month,DSL,0,0,0.809,1,Critical Risk
CUST-04066,2,94.96,223.38,Month-to-month,No,1,0,0.809,1,Critical Risk
CUST-03017,31,118.34,3666.78,Month-to-month,Fiber optic,1,1,0.8089,1,Critical Risk
CUST-02770,27,93.58,2597.05,Month-to-month,Fiber optic,1,0,0.8088,1,Critical Risk
CUST-01035,1,92.57,88.3,Month-to-month,Fiber optic,1,1,0.8083,1,Critical Risk
CUST-04723,5,58.5,276.16,Month-to-month,Fiber optic,1,0,0.8077,1,Critical Risk
CUST-00387,7,98.99,674.36,Month-to-month,Fiber optic,1,1,0.8071,1,Critical Risk
CUST-00494,5,78.92,366.27,Month-to-month,Fiber optic,2,1,0.8062,1,Critical Risk
CUST-03672,1,57.17,0.0,Month-to-month,Fiber optic,3,1,0.8061,1,Critical Risk
CUST-01288,10,84.16,945.18,Month-to-month,Fiber optic,0,1,0.8061,1,Critical Risk
CUST-01083,12,110.54,1295.92,Month-to-month,Fiber optic,0,0,0.806,1,Critical Risk
CUST-04562,8,59.74,498.92,Month-to-month,Fiber optic,2,1,0.8058,1,Critical Risk
CUST-03866,10,99.46,953.67,Month-to-month,Fiber optic,1,1,0.8058,1,Critical Risk
CUST-02778,4,82.2,394.67,Month-to-month,Fiber optic,4,1,0.8057,1,Critical Risk
CUST-00556,12,86.54,1068.48,Month-to-month,Fiber optic,2,1,0.8056,1,Critical Risk
CUST-04651,1,103.72,129.64,Month-to-month,Fiber optic,1,1,0.8051,1,Critical Risk
CUST-00259,20,69.87,1520.88,Month-to-month,Fiber optic,1,0,0.805,1,Critical Risk
CUST-02906,1,74.52,150.72,Month-to-month,Fiber optic,1,0,0.8041,1,Critical Risk
CUST-01888,6,92.24,594.01,Month-to-month,Fiber optic,2,1,0.8041,1,Critical Risk
CUST-00188,19,98.12,1846.17,Month-to-month,Fiber optic,3,1,0.8028,1,Critical Risk
CUST-01069,10,96.97,909.83,Month-to-month,No,1,1,0.802,1,Critical Risk
CUST-00645,3,85.43,245.69,One year,Fiber optic,4,0,0.8019,1,Critical Risk
CUST-01298,2,81.76,237.27,Month-to-month,DSL,1,1,0.8017,1,Critical Risk
CUST-04833,24,93.68,2218.16,Month-to-month,Fiber optic,3,1,0.8008,1,Critical Risk
CUST-00498,1,75.0,83.06,Month-to-month,DSL,3,1,0.8007,1,Critical Risk
CUST-04389,2,60.7,69.69,Month-to-month,No,3,1,0.8007,1,Critical Risk
CUST-03458,28,92.31,2614.98,Month-to-month,Fiber optic,2,1,0.7999,1,Critical Risk
CUST-03828,15,88.33,1285.43,Month-to-month,Fiber optic,1,1,0.7996,1,Critical Risk
CUST-01677,2,72.81,60.9,Month-to-month,Fiber optic,2,0,0.7983,1,Critical Risk
CUST-00529,1,71.46,68.17,Month-to-month,Fiber optic,1,1,0.7977,1,Critical Risk
CUST-03689,1,86.46,29.0,Month-to-month,Fiber optic,1,1,0.7974,1,Critical Risk
CUST-03385,1,88.57,25.0,Month-to-month,DSL,3,1,0.795,1,Critical Risk
CUST-01162,3,66.56,214.49,Month-to-month,No,3,1,0.795,1,Critical Risk
CUST-04352,21,108.81,2282.74,Month-to-month,No,1,1,0.7945,1,Critical Risk
CUST-02038,3,74.73,197.11,Month-to-month,Fiber optic,2,1,0.7943,1,Critical Risk
CUST-02047,1,73.7,25.23,Month-to-month,Fiber optic,0,1,0.7942,1,Critical Risk
CUST-04616,9,107.97,931.09,Month-to-month,DSL,0,1,0.7942,1,Critical Risk
CUST-04136,1,87.72,38.3,One year,Fiber optic,2,0,0.7937,1,Critical Risk
CUST-02704,1,100.97,204.29,Month-to-month,DSL,0,0,0.7932,1,Critical Risk
CUST-03314,1,101.4,187.87,Month-to-month,DSL,0,1,0.7928,1,Critical Risk
CUST-04732,1,88.87,148.7,Month-to-month,Fiber optic,1,1,0.7926,1,Critical Risk
CUST-00798,19,79.03,1541.85,Month-to-month,Fiber optic,2,0,0.7926,1,Critical Risk
CUST-04993,10,77.54,871.38,Month-to-month,Fiber optic,2,1,0.7918,1,Critical Risk
CUST-02753,7,75.41,561.51,Month-to-month,Fiber optic,4,0,0.7918,1,Critical Risk
CUST-01258,16,83.51,1324.77,Month-to-month,No,3,1,0.7908,1,Critical Risk
CUST-02781,1,71.67,44.38,Month-to-month,No,4,0,0.7898,1,Critical Risk
CUST-02594,17,81.41,1353.31,Month-to-month,Fiber optic,0,1,0.7889,1,Critical Risk
CUST-00191,2,86.41,96.67,Month-to-month,Fiber optic,0,1,0.7884,1,Critical Risk
CUST-01967,4,98.43,371.84,Month-to-month,DSL,2,1,0.7883,1,Critical Risk
CUST-02109,7,92.54,584.45,One year,DSL,1,1,0.7874,1,Critical Risk
CUST-02320,12,80.46,855.41,Month-to-month,DSL,4,1,0.7866,1,Critical Risk
CUST-04116,10,59.24,633.09,Month-to-month,Fiber optic,3,0,0.7864,1,Critical Risk
CUST-03978,19,74.35,1379.08,Month-to-month,No,3,1,0.7859,1,Critical Risk
CUST-04954,26,105.91,2770.54,Month-to-month,DSL,0,1,0.7852,1,Critical Risk
CUST-01920,12,89.56,1132.75,One year,Fiber optic,1,0,0.7843,1,Critical Risk
CUST-02972,4,88.27,289.52,Month-to-month,Fiber optic,0,1,0.7837,1,Critical Risk
CUST-02448,5,80.1,418.64,Month-to-month,No,3,0,0.7832,1,Critical Risk
CUST-01815,2,76.41,133.35,Month-to-month,No,1,0,0.7827,1,Critical Risk
CUST-02362,13,87.55,1237.55,Month-to-month,No,1,1,0.7823,1,Critical Risk
CUST-01392,1,88.87,158.39,Month-to-month,No,0,1,0.7821,1,Critical Risk
CUST-02733,1,83.72,135.41,Month-to-month,DSL,1,1,0.782,1,Critical Risk
CUST-04167,6,87.14,491.88,Month-to-month,DSL,0,1,0.7819,1,Critical Risk
CUST-02508,13,71.72,873.49,Month-to-month,Fiber optic,2,1,0.7818,1,Critical Risk
CUST-01671,11,85.77,937.71,Month-to-month,Fiber optic,0,1,0.7813,1,Critical Risk
CUST-01048,1,112.84,22.81,Two year,No,4,1,0.7811,1,Critical Risk
